,0,3,2,2,1,2,1,2,2,5,3,3,1,-1,2,4,8,10,4,1,2,2,3,2,-1,4,5,2,2,
Category,Unexcused Absences,Alumni Tailgate,Assisting with interviews,Big Brother Mentor,Brother Interviews,BUSIK Letters,Chapter Attendance,Committee/Cabinet Member,Domingos,Exec Member,Family Hangouts,Family Head,Forms,Missing/Late Forms,Hosting Family Initiation,Hosting Official Initiation,Initiation So-Bro,Perfect Attendance,Perfect Recruitment Attendance,Photocircle Upload (10),Posting on story,Professional Headshot,Recruitment Tabling,Rush Attendance,Rush Event Missed,Service Event Attendance,Sobro,Wellness Week Event(s),Zeta Chats,TOTAL
Identikey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
aala1752,,,1,0,14,0,6,,0,0,,,,,,,,,1,,,,0,4,,0,1,,0,39
aana4011,0,,0,0,0,0,5,,0,0,,,,,,,,,0,,,,0,0,,0,0,,0,5
Aifl8154,,,0,1,3,1,0,,0,0,,,,,,,,,0,,,,1,0,,0,0,,1,12
alda6179,,,0,0,5,0,6,,0,0,,,,,,,,,0,,,,0,3,,0,0,,0,17
alha3308,,,0,0,9,1,7,,0,1,,,,,,,,,0,,,,0,3,,0,0,,2,33
alkh8987,,,0,0,1,0,7,,0,0,,,,,,,,,0,,,,0,2,,0,0,,0,12
Alli8015,,,1,0,3,0,8,,0,0,,,,,,,,,0,,,,0,2,,1,1,,1,28
almi4216,,,2,1,10,0,7,,0,1,,,,,,,,,1,,,,0,4,,0,1,,2,49
alzi9601,,,1,1,4,1,8,,0,1,,,,,,,,,0,,,,1,2,,0,1,,2,39
amke8708,,,1,0,15,1,8,,0,0,,,,,,,,,0,,,,0,0,,0,0,,0,27
amsa2182,,,2,0,8,0,8,,0,0,,,,,,,,,1,,,,0,4,,0,0,,2,36
Ansc3249,,,1,0,4,0,6,,0,1,,,,,,,,,0,,,,0,3,,0,0,,0,23
Antr2545,,,0,1,5,0,6,,0,0,,,,,,,,,0,,,,0,2,,0,0,,1,19
avmc9121,,,1,0,9,1,8,,2,0,,,,,,,,,1,,,,0,4,,0,0,,1,39
brjo3573,,,2,0,5,1,7,,0,0,,,,,,,,,1,,,,0,4,,0,0,,0,30
brsp8986,,,0,0,1,0,5,,0,0,,,,,,,,,0,,,,0,0,,0,0,,0,6
caph8989,,,0,0,2,0,4,,0,0,,,,,,,,,0,,,,0,2,,0,0,,0,10
chha6855,,,0,1,6,1,7,,1,0,,,,,,,,,0,,,,1,3,,1,0,,0,32
clha6220,,,1,0,4,0,5,,0,0,,,,,,,,,0,,,,1,2,,0,1,,1,25
codr8477,,,2,1,14,0,8,,1,0,,,,,,,,,1,,,,0,4,,0,1,,2,51
dadi2744,,,0,0,0,0,3,,0,0,,,,,,,,,0,,,,0,0,,0,0,,0,3
Dafr1514,,,0,0,1,0,4,,0,0,,,,,,,,,0,,,,0,1,,0,0,,0,7
dica5553,,,1,0,4,0,7,,2,0,,,,,,,,,1,,,,1,4,,0,0,,0,32
dopo3455,,,2,1,13,1,9,,0,0,,,,,,,,,0,,,,1,3,,0,1,,1,46
eitr1983,,,0,0,6,0,5,,0,0,,,,,,,,,0,,,,0,3,,0,0,,0,17
elal8796,,,1,0,16,1,9,,3,0,,,,,,,,,1,,,,0,4,,1,0,,2,55
emne2483,,,2,1,5,1,8,,1,0,,,,,,,,,0,,,,1,3,,0,1,,1,39
ethi1779,,,0,0,3,0,6,,1,0,,,,,,,,,0,,,,0,3,,0,0,,2,21
fibu9595,0,,0,0,4,0,0,,2,0,,,,,,,,,0,,,,0,0,,0,0,,1,10
gama2955,,,2,0,5,1,6,,0,0,,,,,,,,,1,,,,0,4,,0,0,,2,33
giwi8287,,,1,1,16,0,9,,3,0,,,,,,,,,1,,,,0,4,,0,0,,2,51
grgi9150,,,0,0,1,0,2,,0,0,,,,,,,,,0,,,,0,1,,0,0,,0,5
Grqu5792,,,1,0,1,0,6,,0,0,,,,,,,,,0,,,,0,3,,0,0,,1,17
Hakl1855,,,0,0,1,0,3,,0,0,,,,,,,,,0,,,,0,2,,0,0,,0,8
