,3,2,2,1,2,1,2,2,5,3,3,1,-1,2,4,8,10,4,1,2,2,3,2,-1,4,5,2,2,
Category,Alumni Tailgate,Assisting with interviews,Big Brother Mentor,Brother Interviews,BUSIK Letters,Chapter Attendance,Committee/Cabinet Member,Domingos,Exec Member,Family Hangouts,Family Head,Forms,Missing/Late Forms,Hosting Family Initiation,Hosting Official Initiation,Initiation So-Bro,Perfect Attendance,Perfect Recruitment Attendance,Photocircle Upload (10),Posting on story,Professional Headshot,Recruitment Tabling,Rush Attendance,Rush Event Missed,Service Event Attendance,Sobro,Wellness Week Event(s),Zeta Chats,TOTAL
Identikey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
aala1752,,1,0,14,0,4,,,0,,,,,,,,,1,,,,0,4,,,1,,0,37
aana4011,,0,0,0,0,3,,,0,,,,,,,,,0,,,,0,0,,,0,,0,3
Aifl8154,,0,1,3,1,0,,,0,,,,,,,,,0,,,,1,0,,,0,,1,12
alda6179,,0,0,5,0,5,,,0,,,,,,,,,0,,,,0,3,,,0,,0,16
alha3308,,0,0,9,1,5,,,1,,,,,,,,,0,,,,0,3,,,0,,2,31
alkh8987,,0,0,1,0,5,,,0,,,,,,,,,0,,,,0,2,,,0,,0,10
Alli8015,,1,0,3,0,6,,,0,,,,,,,,,0,,,,0,2,,,0,,1,17
almi4216,,2,1,10,0,6,,,1,,,,,,,,,1,,,,0,4,,,1,,2,48
alzi9601,,1,1,3,1,6,,,1,,,,,,,,,0,,,,1,2,,,1,,2,36
amke8708,,0,0,0,1,6,,,0,,,,,,,,,0,,,,0,0,,,0,,0,8
amsa2182,,2,0,7,0,6,,,0,,,,,,,,,1,,,,0,4,,,0,,2,33
Ansc3249,,1,0,4,0,4,,,1,,,,,,,,,0,,,,0,3,,,0,,0,21
Antr2545,,0,1,5,0,4,,,0,,,,,,,,,0,,,,0,2,,,0,,1,17
avmc9121,,1,0,8,1,7,,,0,,,,,,,,,1,,,,0,4,,,0,,1,33
brjo3573,,2,0,4,1,6,,,0,,,,,,,,,1,,,,0,4,,,0,,0,28
brsp8986,,0,0,1,0,3,,,0,,,,,,,,,0,,,,0,0,,,0,,0,4
caph8989,,0,0,2,0,2,,,0,,,,,,,,,0,,,,0,2,,,0,,0,8
chha6855,,0,1,5,1,5,,,0,,,,,,,,,0,,,,1,3,,,0,,0,23
clha6220,,1,0,4,0,4,,,0,,,,,,,,,0,,,,1,2,,,1,,1,24
codr8477,,2,1,14,0,6,,,0,,,,,,,,,1,,,,0,4,,,1,,2,47
